gender,workclass,education_num,marital_status,occupation,relationship,institute_type,asset_class_cd,portfolio_type,approved,approved_loan_amount,age,has_capital_loss,hours_per_week_log,inquiry_purpose_code_log,account_type_log
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,I,1.0,1433000.0,49.0,0,3.713572066704308,2.0794415416798357,5.159055299214529
 Female, Self-emp-not-inc,15.0, Married-civ-spouse, Prof-specialty, Wife,NBF,S,I,1.0,1782000.0,56.0,0,3.58351893845611,2.833213344056216,5.159055299214529
 Female, Private,7.0, Divorced, Exec-managerial, Unmarried,PVT,S,R,1.0,1797000.0,39.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Local-gov,10.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,1866000.0,43.0,0,3.828641396489095,4.605170185988092,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,555000.0,42.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,296000.0,59.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1697000.0,43.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,R,1.0,988000.0,47.0,1,3.9318256327243257,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,1662000.0,51.0,0,4.02535169073515,2.6390573296152584,5.247024072160486
 Male, Private,10.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,1712000.0,49.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
M, Self-emp-not-inc,13.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,R,1.0,1247000.0,45.0,0,3.9318256327243257,2.833213344056216,1.791759469228055
 Male, Self-emp-not-inc,10.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,I,1.0,101000.0,60.0,0,3.713572066704308,2.833213344056216,5.159055299214529
 Female, Private,10.0, Married-spouse-absent, Prof-specialty, Not-in-family,PVT,S,M,1.0,133000.0,42.0,0,3.713572066704308,2.0794415416798357,4.07753744390572
 Male, Private,15.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,197000.0,38.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1796000.0,48.0,0,3.9318256327243257,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Divorced, Sales, Not-in-family,PVT,S,R,1.0,1307000.0,50.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,I,1.0,769000.0,41.0,0,3.713572066704308,2.0794415416798357,5.247024072160486
 Male, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,144000.0,36.0,0,3.6375861597263857,2.6390573296152584,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,444000.0,48.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Self-emp-inc,12.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,R,1.0,976000.0,59.0,0,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, Local-gov,9.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,R,1.0,1947000.0,49.0,0,3.713572066704308,2.833213344056216,1.791759469228055
 Male, Private,12.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1931000.0,41.0,0,3.9318256327243257,4.605170185988092,1.791759469228055
 Male, Local-gov,14.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,I,1.0,936000.0,43.0,0,3.713572066704308,2.6390573296152584,3.871201010907891
 Male, Self-emp-not-inc,13.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,838000.0,51.0,0,3.713572066704308,2.70805020110221,1.791759469228055
 Male, Private,11.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1180000.0,48.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Sales, Husband,NBF,S,I,1.0,1381000.0,41.0,0,4.02535169073515,2.833213344056216,5.159055299214529
 Male, Private,10.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,I,1.0,880000.0,41.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Local-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,420000.0,44.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,128000.0,41.0,0,3.9318256327243257,4.605170185988092,1.791759469228055
male, Private,13.0, Married-civ-spouse, Sales, Husband,HFC,S,I,1.0,1702000.0,36.0,0,3.713572066704308,2.70805020110221,5.247024072160486
 Male, Local-gov,16.0, Married-civ-spouse, Protective-serv, Husband,PVT,S,R,1.0,1323000.0,70.0,0,3.828641396489095,4.605170185988092,1.791759469228055
 Female, Federal-gov,16.0, Never-married, Prof-specialty, Not-in-family,PVT,S,R,1.0,1892000.0,49.0,0,3.9318256327243257,4.605170185988092,1.791759469228055
 Male, Federal-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,I,1.0,168000.0,44.0,0,3.713572066704308,2.6390573296152584,4.820281565605037
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,539000.0,48.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,R,1.0,477000.0,35.0,0,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, Private,14.0, Never-married, Exec-managerial, Own-child,PVT,S,R,1.0,1051000.0,43.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1312000.0,66.0,0,3.58351893845611,2.6390573296152584,1.791759469228055
 Male, State-gov,10.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,118000.0,60.0,1,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,1851000.0,33.0,0,3.7612001156935624,4.605170185988092,5.247024072160486
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,255000.0,46.0,1,3.828641396489095,4.605170185988092,1.791759469228055
 Male, Private,12.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1109000.0,46.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Female, Private,13.0, Never-married, Exec-managerial, Not-in-family,NBF,S,I,1.0,1302000.0,39.0,0,4.02535169073515,1.0986122886681098,5.2574953720277815
 Female, Private,11.0, Married-civ-spouse, Tech-support, Wife,NBF,S,R,1.0,583000.0,37.0,0,3.6635616461296463,4.605170185988092,1.791759469228055
 Male, Private,11.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,1576000.0,30.0,1,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,1888000.0,41.0,0,3.6375861597263857,2.0794415416798357,5.247024072160486
 Male, Self-emp-inc,9.0, Married-civ-spouse, Exec-managerial, Husband,FOR,S,R,1.0,416000.0,55.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,239000.0,59.0,0,3.871201010907891,1.0986122886681098,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband,PVT,S,R,1.0,136000.0,49.0,0,3.8066624897703196,2.6390573296152584,1.791759469228055
 Male, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband,HFC,S,M,1.0,436000.0,59.0,0,3.9318256327243257,2.70805020110221,4.07753744390572
 Male, Private,10.0, Married-civ-spouse, Adm-clerical, Husband,PVT,S,I,1.0,408000.0,55.0,0,3.713572066704308,4.605170185988092,3.871201010907891
 Male, Local-gov,10.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,1701000.0,62.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,1378000.0,38.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Federal-gov,12.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,279000.0,50.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband,PVT,S,R,1.0,1508000.0,52.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Female, Private,10.0, Divorced, Prof-specialty, Not-in-family,NBF,S,R,1.0,1055000.0,52.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,11.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,1372000.0,51.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Self-emp-inc,15.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,444000.0,49.0,1,4.02535169073515,4.605170185988092,1.791759469228055
 Male, Self-emp-not-inc,11.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,I,1.0,1155000.0,52.0,0,3.713572066704308,2.6390573296152584,5.2574953720277815
 Male, Local-gov,14.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,1274000.0,49.0,1,3.9318256327243257,4.605170185988092,5.247024072160486
 Male, Private,11.0, Married-civ-spouse, Tech-support, Husband,NBF,S,I,1.0,641000.0,50.0,0,3.713572066704308,2.6390573296152584,5.43372200355424
 Male, Self-emp-not-inc,13.0, Married-civ-spouse, Sales, Husband,NBF,S,I,1.0,1293000.0,57.0,0,3.713572066704308,2.833213344056216,5.159055299214529
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,I,1.0,1736000.0,38.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Private,9.0, Married-civ-spouse, Transport-moving, Husband,NBF,S,R,1.0,1425000.0,55.0,0,3.8918202981106265,2.833213344056216,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Protective-serv, Husband,PVT,S,R,1.0,162000.0,57.0,1,3.9318256327243257,4.605170185988092,1.791759469228055
 Male, Private,14.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,847000.0,44.0,0,3.9318256327243257,4.605170185988092,1.791759469228055
 Male, Private,14.0, Married-civ-spouse, Sales, Husband,PVT,S,M,1.0,1308000.0,45.0,1,4.02535169073515,4.605170185988092,4.07753744390572
 Male, Self-emp-not-inc,11.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,I,1.0,683000.0,54.0,0,3.713572066704308,2.833213344056216,5.159055299214529
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,412000.0,54.0,0,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, State-gov,16.0, Never-married, Prof-specialty, Not-in-family,PVT,S,I,1.0,1151000.0,50.0,0,3.828641396489095,2.6390573296152584,4.875197323201151
 Female, Self-emp-not-inc,14.0, Divorced, Exec-managerial, Unmarried,PVT,S,R,1.0,1960000.0,49.0,0,3.828641396489095,4.605170185988092,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,798000.0,53.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Federal-gov,14.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1926000.0,51.0,0,3.828641396489095,2.0794415416798357,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Adm-clerical, Husband,PVT,S,I,1.0,606000.0,49.0,0,3.713572066704308,2.833213344056216,5.159055299214529
 Male, Private,12.0, Married-civ-spouse, Tech-support, Husband,PUB,S,I,1.0,1529000.0,52.0,1,3.9318256327243257,1.0986122886681098,4.875197323201151
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,BRO,S,I,1.0,1606000.0,57.0,0,3.713572066704308,4.605170185988092,5.247024072160486
 Male, Self-emp-inc,13.0, Married-civ-spouse, Sales, Husband,PVT,S,I,1.0,115000.0,73.0,1,3.713572066704308,2.0794415416798357,5.159055299214529
 Male, State-gov,10.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,144000.0,53.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Female, Federal-gov,9.0, Married-civ-spouse, Craft-repair, Wife,PVT,S,R,1.0,297000.0,40.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Self-emp-not-inc,15.0, Never-married, Prof-specialty, Not-in-family,PVT,S,R,1.0,534000.0,44.0,1,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, Local-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,HFC,S,R,1.0,1531000.0,61.0,0,3.713572066704308,2.70805020110221,1.791759469228055
 Female, Private,10.0, Married-civ-spouse, Exec-managerial, Wife,PVT,S,R,1.0,363000.0,44.0,0,3.58351893845611,2.6390573296152584,1.791759469228055
F, Self-emp-not-inc,9.0, Married-civ-spouse, Sales, Wife,NBF,S,I,1.0,676000.0,45.0,0,4.007333185232471,2.833213344056216,5.159055299214529
 Male, Federal-gov,9.0, Married-civ-spouse, Adm-clerical, Husband,NBF,S,I,1.0,1830000.0,52.0,0,3.713572066704308,4.605170185988092,5.247024072160486
 Male, Federal-gov,14.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,1465000.0,56.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Local-gov,10.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,I,1.0,916000.0,41.0,0,3.713572066704308,2.6390573296152584,5.159055299214529
 Male, Private,10.0, Married-civ-spouse, Adm-clerical, Husband,NBF,S,I,1.0,1496000.0,47.0,0,3.8501476017100584,2.6390573296152584,5.159055299214529
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,1288000.0,41.0,0,4.02535169073515,2.0794415416798357,5.247024072160486
 Male, Self-emp-inc,15.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1533000.0,53.0,1,4.02535169073515,2.6390573296152584,1.791759469228055
 Male, Self-emp-not-inc,13.0, Married-civ-spouse, Exec-managerial, Husband,PUB,S,R,1.0,184000.0,38.0,0,3.9318256327243257,2.70805020110221,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,I,1.0,166000.0,45.0,0,3.713572066704308,2.6390573296152584,3.871201010907891
 Male, Private,10.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,R,1.0,294000.0,41.0,0,3.828641396489095,4.605170185988092,1.791759469228055
 Male, Self-emp-not-inc,14.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,R,1.0,1570000.0,71.0,0,3.6888794541139363,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,I,1.0,1793000.0,53.0,0,3.8918202981106265,1.9459101490553132,5.247024072160486
 Male, Private,14.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,R,1.0,1482000.0,57.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Self-emp-not-inc,15.0, Never-married, Prof-specialty, Not-in-family,NBF,S,R,1.0,236000.0,46.0,1,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,I,1.0,1857000.0,54.0,0,3.713572066704308,2.6390573296152584,4.820281565605037
 Male, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,1886000.0,53.0,0,3.58351893845611,4.605170185988092,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1832000.0,40.0,0,3.9318256327243257,2.0794415416798357,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,199000.0,36.0,1,3.9318256327243257,1.0986122886681098,1.791759469228055
 Male, Local-gov,13.0, Married-civ-spouse, Adm-clerical, Husband,PVT,S,R,1.0,1823000.0,52.0,0,3.828641396489095,2.0794415416798357,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Sales, Husband,NBF,S,R,1.0,856000.0,56.0,0,3.9318256327243257,2.6390573296152584,1.791759469228055
 Female, Private,14.0, Divorced, Exec-managerial, Not-in-family,NBF,S,I,1.0,1951000.0,51.0,0,3.9318256327243257,2.6390573296152584,5.247024072160486
 Female, Federal-gov,9.0, Married-civ-spouse, Adm-clerical, Wife,NBF,S,R,1.0,1631000.0,43.0,0,3.713572066704308,2.833213344056216,1.791759469228055
 Male, Self-emp-inc,15.0, Separated, Prof-specialty, Not-in-family,PVT,S,R,1.0,665000.0,67.0,0,3.713572066704308,2.70805020110221,1.791759469228055
 Male, Self-emp-not-inc,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,418000.0,59.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Private,10.0, Never-married, Sales, Not-in-family,NBF,S,I,1.0,262000.0,36.0,0,3.9318256327243257,2.6390573296152584,5.247024072160486
 Male, Self-emp-not-inc,9.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,R,1.0,1665000.0,58.0,0,3.828641396489095,2.6390573296152584,1.791759469228055
 Female, Private,10.0, Divorced, Adm-clerical, Own-child,PVT,S,I,1.0,1494000.0,46.0,0,3.8066624897703196,4.605170185988092,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1093000.0,34.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, State-gov,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,M,1.0,452000.0,50.0,0,3.713572066704308,4.605170185988092,4.07753744390572
 Male, Private,16.0, Never-married, Prof-specialty, Not-in-family,PVT,S,R,1.0,1233000.0,57.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband,NBF,S,R,1.0,1363000.0,42.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Divorced, Adm-clerical, Not-in-family,PVT,S,R,1.0,136000.0,67.0,0,3.713572066704308,2.833213344056216,1.791759469228055
 Female, Private,13.0, Married-civ-spouse, Tech-support, Wife,PVT,S,R,1.0,1149000.0,64.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband,PVT,S,R,1.0,237000.0,62.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Tech-support, Husband,PVT,S,R,1.0,193000.0,36.0,1,3.713572066704308,2.6390573296152584,1.791759469228055
 Female, Self-emp-not-inc,7.0, Divorced, Other-service, Not-in-family,PVT,S,R,1.0,1296000.0,72.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,I,1.0,370000.0,64.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Local-gov,14.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,710000.0,62.0,0,3.9318256327243257,2.6390573296152584,5.247024072160486
 Male, Self-emp-inc,9.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,1564000.0,30.0,1,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Transport-moving, Husband,PVT,S,R,1.0,264000.0,60.0,0,3.9318256327243257,4.605170185988092,1.791759469228055
 Female, Private,9.0, Married-civ-spouse, Adm-clerical, Wife,NBF,S,R,1.0,421000.0,58.0,0,3.713572066704308,2.833213344056216,1.791759469228055
 Male, Self-emp-inc,16.0, Separated, Prof-specialty, Not-in-family,PUB,S,R,1.0,237000.0,56.0,0,3.713572066704308,1.0986122886681098,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,756000.0,40.0,0,3.828641396489095,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,1100000.0,34.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Other-service, Husband,PVT,S,R,1.0,1772000.0,57.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Transport-moving, Husband,NBF,S,I,1.0,378000.0,71.0,1,3.713572066704308,2.6390573296152584,5.159055299214529
 Male, State-gov,10.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1794000.0,36.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,256000.0,39.0,0,3.713572066704308,1.9459101490553132,5.247024072160486
 Male, State-gov,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,I,1.0,761000.0,59.0,0,3.828641396489095,2.833213344056216,5.159055299214529
 Male, Private,7.0, Married-civ-spouse, Farming-fishing, Husband,PVT,S,I,1.0,881000.0,37.0,0,4.02535169073515,2.0794415416798357,5.247024072160486
female, Private,9.0, Married-civ-spouse, Adm-clerical, Wife,INS,S,R,1.0,642000.0,47.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Local-gov,9.0, Married-civ-spouse, Transport-moving, Husband,NBF,S,I,1.0,770000.0,58.0,0,3.713572066704308,2.833213344056216,5.247024072160486
 Male, Self-emp-inc,16.0, Married-civ-spouse, Sales, Husband,PUB,S,I,1.0,1646000.0,47.0,0,3.713572066704308,1.0986122886681098,3.871201010907891
 Male, Self-emp-not-inc,13.0, Married-civ-spouse, Farming-fishing, Husband,PVT,S,R,1.0,928000.0,52.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Female, Private,9.0, Married-civ-spouse, Other-service, Wife,PVT,S,M,1.0,251000.0,35.0,1,3.58351893845611,1.0986122886681098,4.07753744390572
 Female, Private,13.0, Married-civ-spouse, Adm-clerical, Wife,PVT,S,R,1.0,1646000.0,36.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,10.0, Married-civ-spouse, Transport-moving, Husband,HFC,S,M,1.0,796000.0,62.0,0,3.713572066704308,2.70805020110221,4.07753744390572
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,R,1.0,1807000.0,54.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,15.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,I,1.0,1576000.0,47.0,0,3.8501476017100584,1.9459101490553132,5.247024072160486
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,NBF,S,I,1.0,1192000.0,57.0,0,3.713572066704308,2.833213344056216,5.247024072160486
 Male, Private,9.0, Married-civ-spouse, Protective-serv, Husband,PVT,S,R,1.0,1696000.0,36.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
 Male, Self-emp-not-inc,16.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1132000.0,36.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Female, Federal-gov,13.0, Married-civ-spouse, Prof-specialty, Wife,PVT,S,R,1.0,1306000.0,43.0,0,3.8918202981106265,4.605170185988092,1.791759469228055
 Male, Private,13.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,401000.0,30.0,0,3.828641396489095,2.0794415416798357,1.791759469228055
 Male, Private,16.0, Married-civ-spouse, Prof-specialty, Husband,PUB,S,I,1.0,601000.0,56.0,0,3.713572066704308,1.0986122886681098,3.871201010907891
 Male, Self-emp-inc,13.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,484000.0,49.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Craft-repair, Husband,PVT,S,M,1.0,1494000.0,47.0,0,3.713572066704308,4.605170185988092,4.07753744390572
 Male, Private,10.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,421000.0,53.0,0,3.9318256327243257,2.6390573296152584,4.875197323201151
 Male, Private,16.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,119000.0,60.0,1,3.9318256327243257,2.6390573296152584,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,299000.0,60.0,0,3.58351893845611,2.6390573296152584,1.791759469228055
 Male, Private,13.0, Never-married, Exec-managerial, Not-in-family,PVT,S,R,1.0,113000.0,40.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Self-emp-inc,13.0, Married-civ-spouse, Prof-specialty, Husband,NBF,S,I,1.0,633000.0,63.0,0,3.9318256327243257,2.6390573296152584,5.247024072160486
 Female, Private,12.0, Married-civ-spouse, Sales, Wife,PVT,S,M,1.0,400000.0,55.0,1,3.713572066704308,4.605170185988092,4.07753744390572
 Male, Private,10.0, Married-civ-spouse, Sales, Husband,PVT,S,R,1.0,1064000.0,50.0,0,3.713572066704308,1.0986122886681098,1.791759469228055
 Female, Private,9.0, Married-civ-spouse, Adm-clerical, Wife,PVT,S,R,1.0,1675000.0,59.0,0,3.713572066704308,2.0794415416798357,1.791759469228055
